ORG_COPPER_NAME,ORG_COPPER_ID,ORG_WEBSITE,STAGE,COPPER_LINK,STATUS
Comdec B.V.,27995857,comdec.eu,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/27995857,Open
Huislijn kantoormeubelen B.V.,36012228,huislijnkantoormeubelen.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36012228,Lost
Rovawee B.V.,55076728,inkoop@rovawee.nl,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55076728,Won
Biron Grow Solutions,54794810,biron.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54794810,Open
Olam Cocoa B.V.,26591061,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/26591061,Open
Lumaland AG,36668721,lumaland.ag/de,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36668721,Open
Decoflorall,38465168,decoflorall.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/38465168,Abandoned
Lambert Spawn Europa B.V.,55688962,lambertspawn.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/55688962,Open
Geris Dairy Solutions B.V.,44916322,geris.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44916322,Open
NGM International b.v.,52395516,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52395516,Abandoned
4everyware stocklots,13842855,4everyware.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13842855,Lost
Reflexy,13231963,reflexy.org,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13231963,Lost
Metel b.v.,17563337,metel.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/17563337,Open
J.A. Ter Maten,56410115,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56410115,Open
DBP Plastics NV,41633636,dbp.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/41633636,Open
Duka,36011763,duka.u,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/36011763,Abandoned
"Flos B.V. | Bufab",33769483,flos.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/33769483,Open
Kabelshop.nl,50212589,kabelshop.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50212589,Open
Holland Diervoeders BV,47049020,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47049020,Lost
