,Input Name,Input Website,Match,Stage,Score,Source
0,Grandeco WallFashion Group Belgium,grandecogroup.com/,No Match,-,0.0,Movements BE
1,Tennant (EMEA),tennantco.com,No Match,-,0.0,Movements BE
2,Panasonic Energy Belgium,panasonic-batteries.com,No Match,-,0.0,Movements BE
3,Galico NV,galico.be,No Match,-,0.0,Movements BE
4,Premium Sound Solutions,premiumsoundsolutions.com,No Match,-,0.0,Movements BE
5,Hullebusch,hullebusch.be,No Match,-,0.0,Movements BE
6,JBC Hoofdkantoor,jbc.be,No Match,-,0.0,Movements BE
7,Sanico,sanico.eu,sanico.eu,3 - Presenting (S),100.0,Movements BE
8,Dirafrost Frozen Fruit,dirafrost.com,dirafrost.com,4 - Offering (S),100.0,Movements BE
9,Aurubis Belgium Olen,aurubis.com,aurubis.com,1- MQL (Marketing),100.0,Movements BE
10,B.I.G. Floorcoverings,bintg.com,No Match,-,0.0,Movements BE
11,Meubelfabriek Lievens,lievensnv.be,lievensnv.be,2 - SQL / Sales Outreach,100.0,Movements BE
12,ALVANCE Aluminium Duffel,aleris.com,No Match,-,0.0,Movements BE
13,SKF LOGISTICS SERVICES BELGIUM,skf.com,No Match,-,0.0,Movements BE
14,Mohawk International Services,unilin.com,unilin.com,3 - Presenting (S),100.0,Movements BE
15,Cummins,cummins.com,No Match,-,0.0,Movements BE
16,Van de Velde,vandevelde.eu,vandevelde.eu,2 - SQL / Sales Outreach,100.0,Movements BE
17,TWE Meulebeke,twe-group.com,twe-group.com,2 - SQL / Sales Outreach,100.0,Movements BE
18,RIMATEX,rimatex.be,No Match,-,0.0,Movements BE
19,FRISOMAT BELGIUM,frisomat.be,No Match,-,0.0,Movements BE
20,Kaneka Belgium Nv,kaneka.be,kaneka.be,2 - SQL / Sales Outreach,100.0,Movements BE
21,Datwyler Pharma Packaging Belgium,datwyler.com,No Match,-,0.0,Movements BE
22,TVH Parts,tvh.com,tvh.com,2 - SQL / Sales Outreach,100.0,Movements BE
23,Laseto NV,futech-tools.com,futech-tools.com,3 - Presenting (S),100.0,Movements BE
24,Dossche Mills,dossche-mills-bakery.com,No Match,-,0.0,Movements BE
25,Tekni-Plex Europe,tekni-plex.be,tekniplex.be,1- MQL (Marketing),96.0,Movements BE
26,Bose Belgium,bose.com/,No Match,-,0.0,Movements BE
27,Soubry Joseph Etn.,soubry.be,No Match,-,0.0,Movements BE
28,Van Marcke,vanmarckepro.com,No Match,-,0.0,Movements BE
29,Stone,stone.be/,No Match,-,0.0,Movements BE
30,XLBoom,xlboom.com,No Match,-,0.0,Movements BE
31,Wild & Soft,wildandsoft.com,ildandsoft.com,4 - Offering (S),96.55172413793103,Movements BE
32,LED TECHNO,ledtechno.be,ledtechno.be,8 - Loyal (CS),100.0,Movements BE
33,L.M.C. COUPLINGS,lmc-couplings.com,lmc-couplings.com,6 - Experience (CS+S),100.0,Movements BE
34,HOUT - BOIS VAN STEENBERGE,vansteenberge.be,No Match,-,0.0,Movements BE
35,Casa International,casashops.com,No Match,-,0.0,Movements BE
36,Mc Three,mcthree.be,mcthree.be,1- MQL (Marketing),100.0,Movements BE
37,Aveno NV,aveno.be,aveno.be,1- MQL (Marketing),100.0,Movements BE
38,Nuscience,nuscience.eu,No Match,-,0.0,Movements BE
39,Jasaco NV,jasaco.be,No Match,-,0.0,Movements BE
40,LivWise,livwise.be,livwise.be,2 - SQL / Sales Outreach,100.0,Movements BE
41,Babylon,babylonhome.be/,babylonhome.be,3 - Presenting (S),96.55172413793103,Movements BE
42,Aliplast Aluminium Extrusion,nan,No Match,-,0.0,Movements BE
43,Mistral Home Textiles,mistral.be,No Match,-,0.0,Movements BE
44,Topcold N.V.,topcold.be/,No Match,-,0.0,Movements BE
45,A&C Systems,ac-systems.com,ac-systems.com,2 - SQL / Sales Outreach,100.0,Movements BE
46,Bouwmaterialen Van Pelt,vanpelt-bouw.be,No Match,-,0.0,Movements BE
47,Natra Malle,natra.com/en/,No Match,-,0.0,Movements BE
48,BOGAERT TRANSMISSION,bogaert-transmission.com,No Match,-,0.0,Movements BE
49,Prof Praxis,prof-praxis.com,prof-praxis.com,8 - Loyal (CS),100.0,Movements BE
50,Drylock Technologies NV,drylocktechnologies.com,drylocktechnologies.com,4 - Offering (S),100.0,Movements BE
51,Selmus BVBA,selmus.com,selmus.com,1- MQL (Marketing),100.0,Movements BE
52,Samsonite Europe,samsonite.be/nl/home/,samsonite.be/nl/home,3 - Presenting (S),97.5609756097561,Movements BE
53,Lowette Gifts,lowette-gifts.be/,No Match,-,0.0,Movements BE
54,EVADAM,nan,No Match,-,0.0,Movements BE
55,Mitsubishi Chemical Advanced Materials Belgium,quadrantplastics.com,No Match,-,0.0,Movements BE
56,Kim's Chocolates,kimchoc.be,kimchoc.be,2 - SQL / Sales Outreach,100.0,Movements BE
