,Input Name,Input Website,Match,Stage,Copper link,Score,Source,Status
0,Grandeco WallFashion Group Belgium,https://www.grandecogroup.com/,grandecogroup.com/en,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53925824,95.0,Movements BE,Won
1,Tennant (EMEA),www.tennantco.com,No Match,-,-,0.0,Movements BE,-
2,Panasonic Energy Belgium,http://www.panasonic-batteries.com,No Match,-,-,0.0,Movements BE,-
3,Galico NV,www.galico.be,No Match,-,-,0.0,Movements BE,-
4,Premium Sound Solutions,www.premiumsoundsolutions.com,No Match,-,-,0.0,Movements BE,-
5,Hullebusch,www.hullebusch.be,No Match,-,-,0.0,Movements BE,-
6,JBC Hoofdkantoor,www.jbc.be,No Match,-,-,0.0,Movements BE,-
7,Sanico,http://www.sanico.eu,sanico.eu,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53980626,100.0,Movements BE,Open
8,Dirafrost Frozen Fruit,www.dirafrost.com,dirafrost.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55200272,100.0,Movements BE,Abandoned
9,Aurubis Belgium Olen,http://www.aurubis.com,aurubis.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46044731,100.0,Movements BE,Open
10,B.I.G. Floorcoverings,http://www.bintg.com,No Match,-,-,0.0,Movements BE,-
11,Meubelfabriek Lievens,www.lievensnv.be,lievensnv.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56599867,100.0,Movements BE,Open
12,ALVANCE Aluminium Duffel,http://www.aleris.com,No Match,-,-,0.0,Movements BE,-
13,SKF LOGISTICS SERVICES BELGIUM,www.skf.com,No Match,-,-,0.0,Movements BE,-
14,Mohawk International Services,http://www.unilin.com,unilin.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54357734,100.0,Movements BE,Abandoned
15,Cummins,http://www.cummins.com,No Match,-,-,0.0,Movements BE,-
16,Van de Velde,www.vandevelde.eu,vandevelde.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/47107027,100.0,Movements BE,Open
17,TWE Meulebeke,http://www.twe-group.com,twe-group.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/53925788,100.0,Movements BE,Open
18,RIMATEX,www.rimatex.be,No Match,-,-,0.0,Movements BE,-
19,FRISOMAT BELGIUM,www.frisomat.be,No Match,-,-,0.0,Movements BE,-
20,Kaneka Belgium Nv,www.kaneka.be,kaneka.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/54385163,100.0,Movements BE,Open
21,Datwyler Pharma Packaging Belgium,http://www.datwyler.com,No Match,-,-,0.0,Movements BE,-
22,TVH Parts,http://www.tvh.com,tvh.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/38674908,100.0,Movements BE,Open
23,Laseto NV,www.futech-tools.com,futech-tools.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57134015,100.0,Movements BE,Abandoned
24,Dossche Mills,www.dossche-mills-bakery.com,No Match,-,-,0.0,Movements BE,-
25,Tekni-Plex Europe,http://www.tekni-plex.be,tekniplex.be,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54279863,96.0,Movements BE,Abandoned
26,Bose Belgium,https://www.bose.com/,No Match,-,-,0.0,Movements BE,-
27,Soubry Joseph Etn.,http://www.soubry.be,No Match,-,-,0.0,Movements BE,-
28,Van Marcke,www.vanmarckepro.com,vanmarckepro.com/nl-be,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52738023,95.0,Movements BE,Won
29,Stone,http://stone.be/,stone.be,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53892476,100.0,Movements BE,Abandoned
30,XLBoom,www.xlboom.com,xlboom.com/en,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52672136,95.0,Movements BE,Open
31,Wild & Soft,www.wildandsoft.com,ildandsoft.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52807820,96.55172413793103,Movements BE,Lost
32,LED TECHNO,www.ledtechno.be,ledtechno.be,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52771418,100.0,Movements BE,Won
33,L.M.C. COUPLINGS,www.lmc-couplings.com,lmc-couplings.com,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52738030,100.0,Movements BE,Won
34,HOUT - BOIS VAN STEENBERGE,www.vansteenberge.be,No Match,-,-,0.0,Movements BE,-
35,Casa International,www.casashops.com, www.casashops.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57023439,95.0,Movements BE,Open
36,Mc Three,http://www.mcthree.be,mcthree.be,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54249667,100.0,Movements BE,Abandoned
37,Aveno NV,www.aveno.be,aveno.be,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52482772,100.0,Movements BE,Abandoned
38,Nuscience,www.nuscience.eu,nuscience.eu/nl-be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52808409,90.0,Movements BE,Open
39,Jasaco NV,www.jasaco.be,No Match,-,-,0.0,Movements BE,-
40,LivWise,www.livwise.be,livwise.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/51939601,100.0,Movements BE,Open
41,Babylon,http://babylonhome.be/,babylonhome.be,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53860781,100.0,Movements BE,Abandoned
42,Aliplast Aluminium Extrusion,,No Match,-,-,0.0,Movements BE,-
43,Mistral Home Textiles,www.mistral.be,No Match,-,-,0.0,Movements BE,-
44,Topcold N.V.,https://www.topcold.be/,topcold.be/nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52495828,95.0,Movements BE,Won
45,A&C Systems,www.ac-systems.com,ac-systems.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52574361,100.0,Movements BE,Open
46,Bouwmaterialen Van Pelt,http://www.vanpelt-bouw.be,No Match,-,-,0.0,Movements BE,-
47,Natra Malle,https://natra.com/en/,natra.com/e,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/55074025,95.65217391304348,Movements BE,Open
48,BOGAERT TRANSMISSION,www.bogaert-transmission.com,bogaert-transmission.com/nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52642504,95.0,Movements BE,Open
49,Prof Praxis,www.prof-praxis.com,prof-praxis.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52598315,100.0,Movements BE,Won
50,Drylock Technologies NV,www.drylocktechnologies.com,drylocktechnologies.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54357663,100.0,Movements BE,Lost
51,Selmus BVBA,www.selmus.com,selmus.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52883537,100.0,Movements BE,Abandoned
